BASE_CUR;Basisvaluta;UNIT_MULT;TIME_PERIOD;OBS_VALUE
AUD;Australske dollar;0;24.08.2020;6.4536
AUD;Australske dollar;0;25.08.2020;6.4162
AUD;Australske dollar;0;26.08.2020;6.4506
AUD;Australske dollar;0;27.08.2020;6.4562
AUD;Australske dollar;0;28.08.2020;6.4566
AUD;Australske dollar;0;31.08.2020;6.4481
BGN;Bulgarske lev;2;24.08.2020;542.94
BGN;Bulgarske lev;2;25.08.2020;540.38
BGN;Bulgarske lev;2;26.08.2020;539.95
BGN;Bulgarske lev;2;27.08.2020;537.77
BGN;Bulgarske lev;2;28.08.2020;535.33
BGN;Bulgarske lev;2;31.08.2020;534.56
BRL;Brasilianske real;0;24.08.2020;1.6103
BRL;Brasilianske real;0;25.08.2020;1.6047
BRL;Brasilianske real;0;26.08.2020;1.6168
BRL;Brasilianske real;0;27.08.2020;1.5934
BRL;Brasilianske real;0;28.08.2020;1.5958
BRL;Brasilianske real;0;31.08.2020;1.6149
CAD;Kanadiske dollar;0;24.08.2020;6.8183
CAD;Kanadiske dollar;0;25.08.2020;6.7762
CAD;Kanadiske dollar;0;26.08.2020;6.7942
CAD;Kanadiske dollar;0;27.08.2020;6.7765
CAD;Kanadiske dollar;0;28.08.2020;6.7318
CAD;Kanadiske dollar;0;31.08.2020;6.7015
CHF;Sveitsiske franc;2;24.08.2020;986.79
CHF;Sveitsiske franc;2;25.08.2020;982.96
CHF;Sveitsiske franc;2;26.08.2020;983.45
CHF;Sveitsiske franc;2;27.08.2020;978.4
CHF;Sveitsiske franc;2;28.08.2020;973.23
CHF;Sveitsiske franc;2;31.08.2020;970.39
CNY;Kinesiske yuan;2;24.08.2020;129.66
CNY;Kinesiske yuan;2;25.08.2020;129.41
CNY;Kinesiske yuan;2;26.08.2020;129.95
CNY;Kinesiske yuan;2;27.08.2020;129.33
CNY;Kinesiske yuan;2;28.08.2020;128.07
CNY;Kinesiske yuan;2;31.08.2020;127.95
CZK;Tsjekkiske koruna;2;24.08.2020;40.699
CZK;Tsjekkiske koruna;2;25.08.2020;40.461
CZK;Tsjekkiske koruna;2;26.08.2020;40.211
